101305	101304	adj
95598	95933	adj
94162	94164	adj
111974	111973	adj
95503	95933	adj
92692	92691	adj
95501	95502	adj
92900	102121	adj
112103	103351	adj
102128	96761	adj
94161	94162	adj
95072	99882	adj
116099	116098	adj
99631	99630	adj
92231	92692	adj2
99632	101304	adj2
103763	103764	adj
92695	99910	adj
99629	98666	adj
92694	92696	adj
98666	99631	adj
90224	90225	adj
101307	101306	adj
95069	95071	adj
90225	90224	adj
95571	95934	adj
98662	99631	adj
116219	116100	adj
99907	99906	adj
92231	116220	adj
95505	95508	adj
92876	92878	adj
99627	101304	adj2
99910	99909	adj
99881	92697	adj
94162	111974	adj2
98670	102120	adj
101298	93851	adj
90219	93852	adj
95071	95073	adj
92877	92883	adj
95933	95503	adj
101301	102121	adj
102138	102134	adj
117189	92231	adj
92688	101304	adj2
95935	95571	adj
95969	90217	adj
99630	99631	adj
94160	94159	adj
101303	101302	adj
96484	93852	adj
102137	102134	adj
102123	102122	adj
95969	116098	adj
95070	103765	adj
99906	99902	adj
94160	95970	adj
94164	94163	adj
96478	96486	adj
99907	99903	adj
92696	92694	adj
98671	98672	adj
112102	112101	adj
92858	93220	adj
92856	93852	adj2
98672	99628	adj
99906	99907	adj
116220	90226	adj
90217	95968	adj
95502	95506	adj
95068	90221	adj
95935	95934	adj
95975	103351	adj
116157	102128	adj2
102122	101304	adj2
101304	101302	adj
99904	111974	adj
112139	112140	adj
96760	96761	adj
90217	95969	adj
95504	116221	adj2
99905	99903	adj
95599	95570	adj
101297	102122	adj
112141	96486	adj
95934	95507	adj
101304	101307	adj
112140	112138	adj
92695	92696	adj
101304	101305	adj
101300	101305	adj
98672	98671	adj
101304	99632	adj2
99903	99906	adj
92899	92900	adj
99905	99910	adj
92241	112746	adj
92241	103764	adj
94164	103765	adj
95915	99910	adj
95501	95505	adj
94159	98669	adj
95502	95501	adj
116221	117189	adj
99904	99905	adj
95068	95069	adj
95933	101304	adj2
112139	112138	adj
101298	101300	adj
99881	95073	adj
92690	101304	adj2
99902	99906	adj
102138	92237	adj
99880	95072	adj
102129	111973	adj
90224	90222	adj
95068	103765	adj
95508	95936	adj
111973	99882	adj
90221	90220	adj
112142	112141	adj
99902	99907	adj
111969	111370	adj
96485	96486	adj
103351	112101	adj
97349	103351	adj
95935	101304	adj2
95068	95070	adj
99628	99627	adj
99629	99631	adj
92878	92877	adj
96758	96761	adj
95503	95501	adj
95935	95936	adj
103763	111973	adj
95970	98671	adj
95506	95508	adj
95570	95598	adj
112139	112141	adj
112142	112140	adj
95506	95505	adj
90219	90218	adj
112727	96486	adj
112103	112101	adj
95506	95502	adj
92695	92694	adj
99903	99905	adj
117189	116220	adj
90221	95068	adj
95502	90225	adj
111369	111969	adj
99628	98668	adj
101301	92900	adj
95934	95935	adj
102138	102137	adj
101300	102123	adj
102134	102137	adj
96485	96478	adj
99630	99628	adj
99629	98672	adj
102121	102124	adj
95936	95508	adj
99632	99631	adj
95075	112727	adj
99632	111380	adj2
95068	94164	adj
101299	101298	adj
96475	96484	adj
101302	101305	adj
90221	95069	adj
90219	93851	adj
112727	112141	adj
90225	95501	adj
99631	98662	adj
90222	90223	adj
102122	102123	adj
98666	99629	adj
99910	92695	adj
90226	90225	adj
112140	112671	adj2
95504	95505	adj
101304	116157	adj2
99907	92695	adj
92858	92878	adj
92692	92693	adj
92692	98668	adj2
111974	99882	adj
104638	116099	adj
92900	90218	adj
112101	112103	adj
96484	96475	adj
101297	101303	adj
112102	103351	adj
92693	92692	adj
95072	95069	adj
99905	95915	adj
112141	112139	adj
99631	98666	adj
102134	101304	adj2
116098	116097	adj
102120	94163	adj
112671	117189	adj2
90225	90226	adj
112727	95075	adj
102121	92900	adj
95069	95070	adj
90219	92856	adj
97349	95975	adj
99628	99630	adj
95571	95570	adj
95570	95599	adj
99902	92697	adj
99629	99627	adj
116221	95599	adj
103763	99882	adj
95598	95570	adj
95072	95071	adj
94159	101304	adj2
116097	116098	adj
99880	99882	adj
95504	95501	adj
95069	95073	adj
98668	92692	adj2
94159	94162	adj
92876	92881	adj
98670	98669	adj
103765	92689	adj
111370	111969	adj
111969	101304	adj2
116219	93220	adj
99630	99632	adj
102124	92883	adj
101300	93851	adj
99881	99880	adj
99953	116219	adj2
101302	95970	adj2
92877	94162	adj2
92688	92690	adj
95508	95505	adj
92689	92691	adj
95970	101302	adj2
102121	101301	adj
116157	111973	adj
101302	101299	adj2
112102	112103	adj
102134	102138	adj
112138	112140	adj
95508	95935	adj
95570	95571	adj
99627	98672	adj
95075	95071	adj
94162	94159	adj
112746	101302	adj2
99880	95073	adj
101305	102123	adj
112140	112142	adj
101302	112746	adj2
101304	99631	adj2
92691	92689	adj
90222	116097	adj
95508	95506	adj
101304	112140	adj2
94161	94160	adj
92692	92231	adj2
96478	101305	adj2
116100	99953	adj
117189	116221	adj
98671	95970	adj
102129	102128	adj
116157	101304	adj2
99907	99902	adj
111969	102120	adj
101304	92688	adj2
95073	95069	adj
93220	92858	adj
116099	116097	adj
90220	90218	adj
92883	92877	adj
99910	99907	adj
101302	101304	adj
90223	90222	adj
101304	96475	adj2
94163	98670	adj
96475	101304	adj2
111973	116157	adj
99910	99905	adj
99882	99880	adj
92696	92695	adj
103351	95975	adj
95599	116221	adj
112140	112101	adj2
92688	92691	adj
99909	92695	adj
101304	92690	adj2
101303	101301	adj
116219	99953	adj2
117189	112671	adj2
101305	112728	adj2
102121	92883	adj
90218	92899	adj
99881	99902	adj
98668	99630	adj
95970	94160	adj
98672	99627	adj
95968	90217	adj
95933	95934	adj
101306	101304	adj
111369	92692	adj
90224	90226	adj
95507	95934	adj
101306	101307	adj
116221	95504	adj2
117189	102137	adj
92689	95070	adj
99882	95072	adj
112141	112142	adj
102122	101297	adj
95933	95598	adj
116098	116099	adj
103764	103763	adj
95503	95502	adj
96761	96758	adj
111370	111369	adj
94164	101304	adj2
111369	111370	adj
98662	99632	adj
99909	99907	adj
101297	101298	adj
103765	94164	adj
92899	90218	adj
96758	96760	adj
99629	99628	adj
99882	111974	adj
92878	93220	adj
99953	116100	adj
101305	102122	adj
111974	99904	adj
112101	103351	adj
95070	95069	adj
92881	92876	adj
90224	90223	adj
101303	101297	adj
98662	99630	adj
101302	96760	adj2
101304	95935	adj2
94160	94162	adj
111974	94162	adj2
95070	95068	adj
101304	99627	adj2
92881	92899	adj
95968	95969	adj
103351	112103	adj
93851	90219	adj
95071	95072	adj
95073	95071	adj
111974	112728	adj
116220	92231	adj
99906	101305	adj2
101304	103765	adj2
101302	94161	adj2
95503	90225	adj
101306	90217	adj2
92691	92692	adj
92695	99907	adj
96486	96478	adj
94163	102120	adj
116100	116219	adj
95934	95571	adj
112141	112727	adj
95501	95503	adj
90226	90224	adj
95070	90221	adj
95598	95599	adj
95968	94161	adj
96478	96475	adj
92877	92878	adj
101305	96478	adj2
90225	95502	adj
96761	96760	adj
102129	96761	adj
93852	92856	adj2
92900	92899	adj
96760	101302	adj2
94159	98668	adj
99903	99902	adj
92689	92688	adj
112728	99904	adj
99882	103763	adj
111973	111974	adj
99902	99881	adj
112140	112139	adj
112140	101304	adj2
99631	99629	adj
101304	94164	adj2
101298	101299	adj
102124	112671	adj
102138	111380	adj
94161	101302	adj2
104638	116098	adj2
92231	117189	adj
103763	111974	adj
90217	101306	adj2
95933	95507	adj
102122	101305	adj
95915	99905	adj
99631	99632	adj
101304	95933	adj2
96478	96485	adj
98669	98670	adj
101301	101303	adj
101304	102122	adj2
94162	92877	adj2
102123	101300	adj
102137	102138	adj
96484	101304	adj2
116097	116099	adj
95934	95933	adj
99904	112728	adj
99627	99628	adj
95069	90221	adj
92697	92690	adj
99907	112140	adj2
95975	97349	adj
93220	116219	adj
101299	101297	adj
90218	92900	adj
93852	96484	adj
95072	95073	adj
112140	99907	adj2
95501	90225	adj
99910	95915	adj
96475	96478	adj
92237	102138	adj
102120	98670	adj
99902	99903	adj
102129	116157	adj
94164	95068	adj
112138	112139	adj
96475	93852	adj
94164	94162	adj
92689	92690	adj
90223	90224	adj
101304	94159	adj2
111380	102138	adj
94161	94159	adj
99907	99909	adj
92697	92694	adj
99628	98672	adj
98668	99628	adj
92694	92697	adj
98668	98669	adj
94163	94162	adj
95071	95075	adj
95073	95072	adj
111380	99632	adj2
111380	92237	adj
112671	112140	adj2
90219	90220	adj
92690	92697	adj
95599	95598	adj
116099	104638	adj
92900	101301	adj
95598	95503	adj
99880	99881	adj
98672	99629	adj
92693	92691	adj
112101	112102	adj
99909	99910	adj
92691	92688	adj
90218	90220	adj
92691	92696	adj2
92697	99902	adj
95507	95933	adj
101303	102122	adj
95935	95508	adj
92694	92695	adj
93852	93851	adj
94163	94164	adj
101305	99906	adj2
99628	99629	adj
92691	92690	adj
96486	112727	adj
90218	101304	adj2
96486	112141	adj
101304	90218	adj2
103765	95070	adj
96760	96758	adj
102137	116221	adj
99632	98662	adj
103351	97349	adj
98669	98668	adj
90220	90219	adj
90220	90221	adj
92689	103765	adj
112142	112139	adj
96486	96485	adj
95936	95935	adj
90225	95503	adj
94159	94160	adj
95507	95506	adj
102124	102121	adj
95506	95507	adj
112671	102124	adj
93851	101300	adj
101305	101302	adj
101304	90223	adj2
95501	95504	adj
93852	96475	adj
95070	92689	adj
112139	112142	adj
95969	95968	adj
92690	92691	adj
95505	95506	adj
95502	95507	adj
99631	101304	adj2
92690	92694	adj
99907	99910	adj
102120	111969	adj
99903	99904	adj
102123	101305	adj
96761	102129	adj
102122	101300	adj
95507	95502	adj
102122	101303	adj
95571	95935	adj
92883	102121	adj
90226	116220	adj
92878	92876	adj
101304	101306	adj
99906	99903	adj
111973	102129	adj
96761	102128	adj
112728	101305	adj2
94160	94161	adj
99905	99904	adj
90221	95070	adj
101299	101302	adj2
103765	101304	adj2
93851	93852	adj
90218	90219	adj
